1	0	0	0	1	1	3	0	5	2.8	2.4	0.618	0	0.382	1
0	0	1	0	0	999	4	1	1	1	3.6	0.434	0	0.566	3
0	0	0	0	0	1	5	1	999	1.8	2.8	0.111	0	0.889	3
1	0	1	1	1	1	3	1	3	2.2	3.6	0.999	0	0.001	1
0	0	1	1	0	0	2	0	2	1.4	3.4	0.983	0	0.017	1
1	0	1	1	0	0	2	1	1	1.6	4	0.997	0	0.003	1
1	0	0	0	0	0	3	0	2	2.4	3	0.415	0	0.585	3
1	0	1	1	1	1	2	1	4	3	2.2	0.999	0	0.001	1
0	0	0	1	0	1	3	1	1	1.2	3.6	0.904	0	0.096	1
1	0	0	1	1	0	3	0	1	1.8	3.2	0.992	0	0.008	1
1	0	0	1	0	0	2	1	2	1	3.4	0.982	0	0.018	1
1	0	1	1	1	1	3	1	2	2	3.2	0.999	0	0.001	1
1	1	0	1	0	1	5	1	4	2.8	3	0.424	0.546	0.03	2
0	0	1	0	0	1	2	1	2	2.2	2.4	0.434	0	0.566	3
0	0	1	0	0	0	5	1	2	1	3.6	0.434	0	0.566	3
1	0	0	0	1	1	4	0	4	2	3	0.618	0	0.382	1
1	0	0	1	1	1	3	1	5	3.4	2.6	0.992	0	0.008	1
1	0	1	0	0	1	3	1	1	2.4	2.8	0.814	0	0.186	1
0	0	0	0	0	0	2	1	2	2.6	1.4	0.111	0	0.889	3
0	0	0	0	0	0	5	1	1	1.4	3.6	0.111	0	0.889	3
0	1	0	0	0	0	3	1	2	2.2	3.4	0.031	0	0.969	3
0	0	1	1	0	0	3	1	2	1.4	2.6	0.983	0	0.017	1
0	0	1	0	0	1	2	0	2	1.6	3.6	0.434	0	0.566	3
1	0	1	1	0	1	5	1	2	1.2	3.2	0.997	0	0.003	1
0	0	1	1	1	1	5	0	3	1.2	3	0.992	0	0.008	1
1	0	1	1	1	1	2	1	2	1.6	1	0.999	0	0.001	1
1	0	1	0	0	0	3	0	2	1.6	3.8	0.814	0	0.186	1
1	0	1	1	1	1	5	0	2	2.2	3	0.999	0	0.001	1
1	0	1	1	1	1	3	0	5	3.2	1.8	0.999	0	0.001	1
0	0	0	0	0	0	2	1	1	1.4	3.8	0.111	0	0.889	3
0	0	1	1	0	1	2	1	1	1	3	0.983	0	0.017	1
0	0	0	0	0	0	2	1	1	1	1.6	0.111	0	0.889	3
1	0	0	1	0	1	3	1	1	1	4	0.982	0	0.018	1
