22020	0	.	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
22209	1	3	3	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	5	2.8	2.4
22900	.	4	4	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	3.6
24601	1	8	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	.	1.8	2.8
27243	0	.	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1010101	1	3	3	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	2.2	3.6
22000	0	2	2	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	2	1.4	3.4
22001	1	.	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
22002	0	2	2	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1.6	4
22004	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2.4	3
22005	1	2	2	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	4	3	2.2
22006	1	3	3	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1.2	3.6
22007	0	3	3	1	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1.8	3.2
22009	0	2	2	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	2	1	3.4
22011	1	3	3	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	2	2	3.2
22013	1	7	5	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	4	2.8	3
22015	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2.2	2.4
22016	0	7	5	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	2	1	3.6
22018	1	4	4	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	4	2	3
22021	1	3	3	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	5	3.4	2.6
22040	1	3	3	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	2.4	2.8
22103	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2.6	1.4
22106	0	7	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1.4	3.6
22107	0	3	3	0	1	0	1	0	0	0	0	1	0	0	0	.	0	0	1	2	2.2	3.4
22108	0	3	3	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	2	1.4	2.6
22110	1	.	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
22112	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1.6	3.6
